Id,SalePrice
1461,123446.74694888911
1462,159006.16531551254
1463,184734.34457464027
1464,188378.08083142558
1465,193299.05632334383
1466,177225.21635228602
1467,168934.65801882284
1468,165448.07630439586
1469,175313.79662408188
1470,121565.42523460086
1471,206425.44137794792
1472,93384.48343588806
1473,92458.76875746324
1474,160407.99876053748
1475,133459.55497677415
1476,345614.5426850786
1477,260636.0307264771
1478,294227.86824522656
1479,221289.00058989733
1480,494708.3817822533
1481,316095.36607470707
1482,207076.68783863707
1483,146365.05652260417
1484,164985.1536387826
1485,170051.56522856225
1486,198113.12014034367
1487,339039.6014206918
1488,235590.58137313227
1489,208630.09211125338
1490,201132.98997569078
1491,190611.22751563444
1492,98720.22266710833
1493,182348.8779584813
1494,283267.05669063964
1495,284171.5829590051
1496,238729.49003934313
1497,181976.72788610763
1498,159080.4209684739
1499,159458.41611971828
1500,154048.8632609362
1501,180297.33638084747
1502,169096.75551442144
1503,319140.311129682
1504,232444.6673162208
1505,222010.65722942605
1506,173677.2097737987
1507,216164.33793567974
1508,200370.18756554875
1509,163573.1399593208
1510,148731.38044187357
1511,147842.9099609131
1512,160085.14359388687
1513,143470.72752533515
1514,167377.41033503512
1515,179472.08735866178
1516,159929.2778361272
1517,153162.43761697834
1518,130626.7392798897
1519,227651.74350446282
1520,132559.60858401048
1521,138337.68729896375
1522,167371.72621301457
1523,118904.66945023176
1524,128433.0567221033
1525,122361.1674200487
1526,128859.88801910703
1527,93533.75911718557
1528,136081.2396765231
1529,152468.22060252604
1530,187948.13052836814
1531,115777.2521055363
1532,103747.42065202426
1533,141121.3483621082
1534,119710.47657568351
1535,166597.53424853022
1536,111885.77876066233
1537,76266.74766557157
1538,188071.09009986042
1539,183002.1279268204
1540,96227.23031663314
1541,147661.0368091856
1542,136134.8889216836
1543,218036.22951467184
1544,88140.78946260616
1545,113480.64244897022
1546,124352.93669185927
1547,135154.7134000747
1548,134721.96913158955
1549,108896.84617288361
1550,137372.42652968285
1551,115806.87055620056
1552,131972.66308869413
1553,138228.639242198
1554,111944.5631413048
1555,168716.21494408
1556,93683.66550980395
1557,114448.27120967206
1558,92110.20608758864
1559,99281.19242981939
1560,153791.90817092278
1561,131119.16628021502
1562,125229.54407232572
1563,112982.7731034162
1564,158841.13343398922
1565,147437.8246005739
1566,236907.36168587735
1567,70529.04029168181
1568,225176.74684132996
1569,124717.76771547279
1570,118250.74416415342
1571,126885.17821303486
1572,143956.1189035285
1573,260752.90483800793
1574,85881.89532171612
1575,205108.30419354036
1576,235349.4272492806
1577,200009.62093578026
1578,146439.99774888705
1579,147751.82001332025
1580,193933.7936635056
1581,140474.33172078952
1582,127198.02590551798
1583,330712.5555578581
1584,226274.59205970087
1585,141679.6151968492
1586,70220.12376468795
1587,102253.21697647401
1588,145520.0415311953
1589,104163.30044960383
1590,123719.10908305613
1591,104866.70591475497
1592,118958.58073239335
1593,112138.27964875843
1594,120716.73168848339
1595,108982.86865684653
1596,236384.0772463469
1597,177274.87648483017
1598,204821.79451663556
1599,182453.53474616623
1600,179344.1099976876
1601,48309.042103867985
1602,86396.59550097419
1603,85318.54565071112
1604,276997.8515982569
1605,235150.37158717774
1606,180890.75711686726
1607,163627.71623433894
1608,215263.52135470317
1609,197486.80172834813
1610,161811.0016236375
1611,144935.45694996187
1612,151066.1342695119
1613,156083.96136642146
1614,120189.55231228865
1615,93918.1600012338
1616,76135.10774924204
1617,90331.11162033562
1618,125169.98673638576
1619,134517.2702736464
1620,138220.13760446143
1621,134933.41212770037
1622,141651.40689328007
1623,293629.2108894014
1624,216806.10162524076
1625,119965.50050273327
1626,168073.56823205602
1627,188337.3937927019
1628,298337.20040508924
1629,191632.1718784818
1630,357668.46088615694
1631,224492.49874582808
1632,248824.2456969732
1633,177542.51635285447
1634,181727.2513732662
1635,178975.44144280892
1636,154898.405186241
1637,164859.0636374234
1638,211022.4170474125
1639,173242.93516264934
1640,243368.47530302926
1641,170648.3234070589
1642,225330.8153431169
1643,224309.4232576216
1644,232129.00445956367
1645,170033.6522007835
1646,155678.70391679014
1647,158033.27047417208
1648,130845.49214336007
1649,141617.27117677312
1650,120392.77169431192
1651,119078.10210821824
1652,90973.20346971594
1653,97478.02637365625
1654,153371.25473107272
1655,144231.9410889519
1656,150564.22264088216
1657,150521.6627707107
1658,153540.87406750434
1659,142556.51667890695
1660,149352.3169474545
1661,467628.21092174394
1662,411436.00149350555
1663,397856.97018611117
1664,514855.25096077204
1665,316592.71098335204
1666,316446.0224422894
1667,400936.63661240396
1668,335414.08634172915
1669,318279.5503619642
1670,339954.1804882738
1671,267703.46963873424
1672,518937.38926650246
1673,291093.6700835939
1674,251854.1729114025
1675,192396.83004312057
1676,190654.3140011676
1677,220903.73435517718
1678,555997.7180795782
1679,420383.83854756126
1680,307735.8852284052
1681,268721.5206619164
1682,303305.1139565122
1683,178534.28285227332
1684,167808.0710477775
1685,176291.5753728152
1686,168719.82286784446
1687,168240.985465421
1688,188073.67452957964
1689,190600.6922906778
1690,189018.95000420322
1691,183799.28844748216
1692,277730.6250990388
1693,176043.3382663855
1694,189703.42767678807
1695,164965.72854308694
1696,287445.4234767405
1697,167636.53960375197
1698,364496.034934254
1699,316515.80626786477
1700,246404.30349912308
1701,250194.27265538048
1702,257694.23179104502
1703,253831.53301224604
1704,298379.33085756755
1705,237813.0819849093
1706,552069.7682516876
1707,231170.33929027032
1708,220024.91684712798
1709,280032.844340096
